Loc,DateOfMonth,Weekday,Hour,NoOfBookings
2,11,4,14,13137
2,11,4,15,13199
2,11,4,16,13288
2,11,4,17,13381
2,11,4,18,13480
2,11,4,19,13579
2,11,4,20,13664
2,11,4,21,13739
2,11,4,22,13818
2,11,4,23,13905
2,12,5,0,13987
2,12,5,1,14029
2,12,5,2,14057
2,12,5,3,14072
2,12,5,4,14085
2,12,5,5,14093
2,12,5,6,14101
2,12,5,7,14109
2,12,5,8,14122
2,12,5,9,14135
2,12,5,10,14157
2,12,5,11,14189
2,12,5,12,14221
2,12,5,13,14261
2,12,5,14,14294
2,12,5,15,14346
2,12,5,16,14407
2,12,5,17,14482
2,12,5,18,14553
2,12,5,19,14641
2,12,5,20,14708
2,12,5,21,14788
2,12,5,22,14885
2,12,5,23,14976
2,13,6,0,15074
2,13,6,1,15137
2,13,6,2,15169
2,13,6,3,15186
2,13,6,4,15203
2,13,6,5,15214
2,13,6,6,15219
2,13,6,7,15228
2,13,6,8,15235
2,13,6,9,15255
2,13,6,10,15288
2,13,6,11,15320
2,13,6,12,15371
2,13,6,13,15408
2,13,6,14,15446
2,13,6,15,15494
2,13,6,16,15560
2,13,6,17,15625
2,13,6,18,15677
2,13,6,19,15720
22,13,6,20,15758
2,13,6,21,15787
2,13,6,22,15816
2,13,6,23,15840
2,14,0,0,15857
2,14,0,1,15863
2,14,0,2,15866
2,14,0,3,15868
2,14,0,4,15873
2,14,0,5,15882
2,14,0,6,15904
2,14,0,7,15955
2,14,0,8,16015
2,14,0,9,16063
2,14,0,10,16107
2,14,0,11,16140
2,14,0,12,16166
2,14,0,13,16212
3,14,0,14,16246
3,14,0,15,16299
3,14,0,16,16352
3,14,0,17,16404
3,14,0,18,16476
3,14,0,19,16527
3,14,0,20,16574
3,14,0,21,16621
3,14,0,22,16666
3,14,0,23,16697
3,15,1,0,16711
3,15,1,1,16720
3,15,1,2,16721
3,15,1,3,16722
3,15,1,4,16728
3,15,1,5,16736
3,15,1,6,16752
3,15,1,7,16786
3,15,1,8,16835
3,15,1,9,16884
3,15,1,10,16932
3,15,1,11,16992
3,15,1,12,17046
3,15,1,13,17094
3,15,1,14,17152
3,15,1,15,17208
3,15,1,16,17287
3,15,1,17,17403
3,15,1,18,17517
